1.5,1.5,2,petz,2.9323929587898867e-03,6.9221663061270504e-03,6.3143576823935432e-03
1.5,1.5,3,petz,4.1362442556347467e-04,8.7960051506015199e-04,7.1954516796993628e-04
1.5,1.5,4,petz,6.1736786426846990e-05,2.1480868460483472e-04,1.9576700482100076e-04
1.5,1.5,5,petz,9.4003044042167971e-06,4.3455347700950981e-05,4.0061587483395490e-05
1.5,1.5,6,petz,1.4299991668575984e-06,8.5387558925872505e-06,8.0846842869947375e-06
1.5,2.0,1,petz,3.6294896837838153e-02,6.3077415953693164e-02,6.6699214708479893e-02
1.5,2.0,2,petz,6.5055515135019615e-03,1.0109954996809192e-02,9.9327202970857752e-03
1.5,2.0,3,petz,1.3739757870655511e-03,2.4022754937812851e-03,2.1946052976784692e-03
1.5,2.0,4,petz,3.0682673555415541e-04,8.7942307587604498e-04,8.6888257239897833e-04
1.5,2.0,5,petz,6.9563083568535689e-05,2.8163892849321543e-04,2.8545829490828105e-04
1.5,2.0,6,petz,1.5619761078000671e-05,8.3161465108024630e-05,8.7048079735110086e-05
